Logical Address,Page Number,Offset,TLB Hit/Miss,Page Fault,Frame Number,Physical Address,Value,Replaced Page,Replaced Frame
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
200,0,200,hit,no,0,200,0,-1,-1
300,1,44,hit,no,1,300,0,-1,-1
400,1,144,hit,no,1,400,0,-1,-1
500,1,244,hit,no,1,500,0,-1,-1
